Year,Glob,NHem,SHem,Population (millions),CO2 (kt),GDP (billions)
1880,-0.17,-0.28,-0.05,1415.841209,4.227557,1960.2658095238094
1881,-0.09,-0.18,0.0,1423.704727,4.2230110000000005,2071.664619047619
1882,-0.11,-0.22,-0.01,1433.553127,4.338779000000001,2183.0634285714286
1883,-0.17,-0.28,-0.07,1444.009167,4.468314,2294.462238095238
1884,-0.29,-0.43,-0.15,1454.595037,4.48773,2405.8610476190474
1885,-0.34,-0.44,-0.25,1465.369425,4.489396,2517.259857142857
1886,-0.32,-0.43,-0.2,1476.245076,4.553248,2628.6586666666667
1887,-0.36,-0.44,-0.29,1487.277339,4.662310000000001,2740.0574761904763
1888,-0.17,-0.23,-0.12,1498.437207,4.78732,2851.4562857142855
1889,-0.11,-0.18,-0.04,1509.373834,4.7796769999999995,2962.855095238095
1890,-0.35,-0.39,-0.32,1521.669265,5.149284,3074.253904761905
1891,-0.22,-0.26,-0.19,1530.611585,5.3176369999999995,3185.652714285714
1892,-0.28,-0.4,-0.16,1540.822549,5.370761000000001,3297.051523809524
1893,-0.31,-0.47,-0.16,1550.822689,5.431018,3408.450333333333
1894,-0.3,-0.39,-0.22,1560.960959,5.514442,3519.8491428571424
1895,-0.23,-0.3,-0.15,1571.250732,5.638879,3631.2479523809525
1896,-0.11,-0.19,-0.03,1581.628826,5.730021,3742.6467619047617
1897,-0.11,-0.16,-0.05,1592.152786,5.816969,3854.0455714285713
1898,-0.27,-0.29,-0.26,1602.80187,5.936182,3965.444380952381
1899,-0.18,-0.21,-0.14,1614.109121,6.152229,4076.84319047619
1900,-0.08,-0.09,-0.07,1627.883132,6.329529000000001,4188.242
1901,-0.16,-0.13,-0.18,1638.647517,6.43471,4267.21085
1902,-0.28,-0.34,-0.22,1651.840077,6.5539950000000005,4346.179700000001
1903,-0.37,-0.38,-0.37,1665.70354,6.750158000000001,4425.14855
1904,-0.47,-0.49,-0.46,1679.752718,6.8630320000000005,4504.1174
1905,-0.26,-0.29,-0.23,1693.984163,7.025284,4583.08625
1906,-0.22,-0.24,-0.21,1708.411294,7.158701,4662.0551
1907,-0.39,-0.47,-0.3,1723.032738,7.5547889999999995,4741.02395
1908,-0.43,-0.45,-0.4,1737.874788,7.481688,4819.9928
1909,-0.48,-0.5,-0.47,1752.122665,7.636352,4898.96165
1910,-0.44,-0.45,-0.43,1767.847653,7.676793,4977.9305
1911,-0.45,-0.42,-0.47,1778.784032,7.687947,5056.89935
1912,-0.37,-0.47,-0.26,1791.197929,7.785760000000001,5135.8682
1913,-0.35,-0.42,-0.27,1803.056235,8.04491,5214.83705
1914,-0.15,-0.19,-0.1,1815.104863,7.71673,5293.805899999999
1915,-0.14,-0.14,-0.13,1827.290389,7.625049,5372.77475
1916,-0.36,-0.42,-0.31,1839.559287,7.828739,5451.7436
1917,-0.46,-0.57,-0.36,1851.899055,7.968798,5530.71245
1918,-0.3,-0.4,-0.2,1864.869126,7.948688000000001,5609.6813
1919,-0.28,-0.35,-0.2,1878.650358,7.442319,5688.6501499999995
1920,-0.27,-0.3,-0.24,1895.68215,8.129836000000001,5767.619
1921,-0.19,-0.11,-0.26,1908.748639,7.821921000000001,5936.2828
1922,-0.28,-0.27,-0.29,1924.82612,8.034376,6104.946599999999
1923,-0.26,-0.22,-0.31,1941.6369,8.464214,6273.6104
1924,-0.27,-0.18,-0.35,1958.716901,8.494181000000001,6442.2742
1925,-0.22,-0.14,-0.3,1976.068839,8.601766,6610.938
1926,-0.11,0.01,-0.21,1993.719848,8.519336,6779.6018
1927,-0.22,-0.14,-0.29,2011.689749,8.862959000000002,6948.2656
1928,-0.2,-0.11,-0.29,2029.682397,8.853838,7116.9294
1929,-0.36,-0.34,-0.38,2048.513689,9.15999,7285.5932
1930,-0.16,-0.01,-0.29,2070.596353,8.90255,7454.257
1931,-0.09,0.05,-0.21,2088.429965,8.555204,7622.9208
1932,-0.16,-0.05,-0.25,2109.357892,8.265093,7791.5846
1933,-0.28,-0.25,-0.32,2131.029147,8.453849,7960.2484
1934,-0.12,0.0,-0.25,2152.969392,8.795633,8128.912200000001
1935,-0.2,-0.09,-0.3,2175.184808,8.979292,8297.576000000001
1936,-0.15,-0.03,-0.26,2197.830032,9.375813,8466.2398
1937,-0.03,0.12,-0.17,2220.878589,9.650635000000001,8634.903600000001
1938,0.0,0.16,-0.18,2244.005191,9.410575000000001,8803.5674
1939,-0.02,0.09,-0.13,2266.483407,9.657547000000001,8972.2312
1940,0.13,0.18,0.09,2290.871362,10.203323000000001,9140.895
1941,0.19,0.23,0.17,2307.736768,10.485464,9238.2775
1942,0.07,0.13,0.01,2326.734579,10.509654000000001,9335.66
1943,0.09,0.18,-0.01,2344.58144,10.580636,9433.0425
1944,0.21,0.28,0.14,2362.439908,10.65757,9530.425
1945,0.09,0.11,0.09,2380.167769,9.762553,9627.807499999999
1946,-0.07,0.03,-0.17,2397.811266,10.135869000000001,9725.19
1947,-0.03,0.08,-0.13,2416.694412,10.589338,9822.5725
1948,-0.1,-0.01,-0.19,2437.259361,10.793544,9919.955
1949,-0.11,-0.03,-0.19,2463.242071,10.497641,10017.3375
1950,-0.17,-0.15,-0.21,2499.322112,11.996413,10114.72
1951,-0.07,0.05,-0.18,2543.130368,12.544241,10697.6472
1952,0.01,0.06,-0.04,2590.270976,12.772289,11280.5744
1953,0.08,0.24,-0.08,2640.278784,13.068064000000001,11863.5016
